,Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,No. of Receptions,Location,City/County,Postal Code
1957,Hardwicks Square,450000,Flat / Apartment,572,1,1,1,Wandsworth,London,SW18 4AG
1958,Union Wharf,1795000,House,1842,3,3,3, Islington,London,N1 7BL
1959,Kingsland Road,375000,Flat / Apartment,450,1,1,1,,London,E2 8AS
1960,Globe House,660000,Flat / Apartment,929,2,2,2, Canary Wharf,London,E14 0LU
1961,Wadham Gardens,7950000,Flat / Apartment,4168,4,4,4,Primrose Hill,London,NW3 3DN
1962,Dunraven Road,775000,Flat / Apartment,858,2,2,2,,London,W12 7QY
1963,Chronicle Tower,995000,Flat / Apartment,875,2,2,2, Shoreditch,London,EC1V 1AL
1964,Lillian Road,1350000,House,1520,3,3,3,Barnes,London,SW13 9JF
1965,Polworth Road,535000,Flat / Apartment,887,3,3,3,,London,SW16 2EU
1966,Marylands Road,385000,Flat / Apartment,344,1,1,1,,London,W9 2DU
1967,Earl's Court Square,1195000,Flat / Apartment,723,2,2,2,,London,SW5 9DQ
1968,"Castle Court, Putney Wharf",1195000,Penthouse,1260,3,3,3, Putney,London,SW15 2JJ
1969,Weymouth Mews,1575000,Flat / Apartment,979,2,2,2,Marylebone,London,W1G 7EG
1970,Montpelier Mews,3700000,House,2381,4,4,4,,London,SW7 1HB
1971,Bartholomew Road,550000,Flat / Apartment,474,1,1,1,Kentish Town,London,NW5 2AS
1972,Meadvale Road,1300000,House,1668,4,4,4,,London,W5 1LT
1973,Earl's Court Square,625000,Flat / Apartment,491,1,1,1,,London,SW5 9DN
1974,Stylus House,445000,Flat / Apartment,667,2,2,2,Devonport Street,London,E1 0EG
1975,Balham Hill,670000,Flat / Apartment,743,2,2,2,,London,SW12 9EA
1976,Fernside Road,1385000,House,1837,4,4,4,,London,SW12 8LL
1977,Englewood Road,1650000,House,2305,5,5,5,,London,SW12 9PA
1978,Hightrees House,625000,Flat / Apartment,768,2,2,2,Nightingale Lane,London,SW12 8AH
1979,St John Street,995000,Flat / Apartment,800,2,2,2,Clerkenwell,London,EC1M 4DT
1980,Dale Street,465000,Flat / Apartment,594,1,1,1,Chiswick,London,W4 2BZ
1981,Handel Mansions,1300000,Flat / Apartment,1299,2,2,2, Barnes,London,SW13 8AH
1982,Ormiston Grove,2000000,House,3165,5,5,5,,London,W12 0JR
1983,The Heights,1075000,Flat / Apartment,1138,2,2,2, Hampstead,London,NW3 6XS
1984,Henderson Road,5000000,House,4980,6,6,6,,London,SW18 3RR
1985,Victoria Rise,1750000,New development,2431,4,4,4,Hilgrove Road,London,NW6 4TH
1986,Bridge Lane,1850000,House,1679,3,3,3,,London,SW11 3AD
1987,Dunbar Wharf,900000,Flat / Apartment,1054,2,2,2, Limehouse,London,E14 8BB
1988,Peninsula Heights,4795000,Flat / Apartment,3943,5,5,5, Vauxhall,London,SE1 7TY
1989,Pissarro House,600000,Flat / Apartment,568,1,1,1,Augustas Lane,London,N1 1QT
1990,Old York Road,665000,Flat / Apartment,956,2,2,2,,London,SW18 1SS
1991,Brodrick Road,1650000,House,2335,3,3,3,Wandsworth,London,SW17 7DX
1992,Southmont Road,999950,House,2249,5,5,5,Esher,Surrey,KT10 9BG
1993,Victoria Road,2250000,House,2030,6,6,6,,London,NW6 6TD
1994,Cadogan Terrace,435000,Flat / Apartment,510,1,1,1,Hackney,London,E9 5EL
1995,Churston Mansions,700000,Penthouse,623,2,2,2,176 Gray's Inn Road,London,WC1X 8ER
1996,Harland House,730000,New development,801,2,2,2,30-34 Woodfield Place,London,W9 2BJ
1997,Marchbank House,525000,Flat / Apartment,1239,2,2,2, Northwood,Middlesex,HA6 2SG
1998,Marylebone High Street,7250000,New development,1991,3,3,3,Marylebone,London,W1U 4PY
1999,Manville Road,2895000,House,4503,7,7,7,,London,SW17 8JL
2000,Chesterfield House,2850000,Flat / Apartment,1275,3,3,3, Mayfair,London,W1J 5JX
2001,Cambridge Road,599950,Flat / Apartment,710,2,2,2,,London,SW11 4RR
2002,Wesley Street,5250000,House,3092,5,5,5,Marylebone,London,W1G 8PT
2003,Hugero Point,600000,Flat / Apartment,869,2,2,2, Greenwich,London,SE10 0GS
2004,Abbeville Road,2350000,House,3071,5,5,5,,London,SW4 9JL
2005,Cromford Road,899950,Flat / Apartment,1195,2,2,2,Putney,London,SW18 1PA
2006,Islington Green,670000,Flat / Apartment,662,1,1,1,,London,N1 2XA
2007,Buckingham Court,1175000,Flat / Apartment,776,2,2,2, Notting Hill,London,W11 3BP
2008,Bramfield Road,1550000,House,1953,4,4,4,,London,SW11 6PZ
2009,Honeywell Road,1995000,House,2116,5,5,5,,London,SW11 6EQ
2010,Dorset Court,725000,Duplex,940,3,3,3,Hertford Road,London,N1 4SD
2011,Priory Road,2250000,House,2293,4,4,4,South Hampstead,London,NW6 4NN
2012,Old Chesterton Building,875000,Flat / Apartment,1141,2,2,2,,110 Battersea Park Road,SW11 4LZ
2013,Albert Bridge Road,1500000,Flat / Apartment,1186,3,3,3,,London,SW11 4PY
2014,Brodrick Road,2150000,House,2598,5,5,5, Wandsworth,London,SW17 7DX
2015,Stillingfleet Road,895000,House,1133,3,3,3,Barnes,London,SW13 9AG
2016,Bute Gardens,2175000,House,2243,4,4,4,,London,W6 7DS
2017,Pembridge Crescent,8500000,Flat / Apartment,3493,4,4,4,,London,W11 3DS
2018,Cato Street,2500000,House,1888,3,3,3,Marylebone,London,W1H 5JH
2019,St. Alphonsus Road,925000,House,760,2,2,2,,London,SW4 7BW
2020,Sugar House,550000,Flat / Apartment,481,1,1,1,99 Leman Street,London,E1 8GH
2021,Boatman's Court,879950,New development,1048,2,2,2, Putney,London,SW15 1PP
2022,Airedale Avenue,2300000,House,2526,5,5,5,Chiswick,London,W4 2NN
2023,Millennium House,650000,Flat / Apartment,664,2,2,2, Putney,London,SW15 2DN
2024,Alacia Court,600000,New development,813,2,2,2,Palmerston Road,London,W3 8GJ
2025,Quebec Wharf,775000,Flat / Apartment,941,1,1,1,315 Kingsland Road,London,E8 4DJ
2026,Cumberland Terrace,7250000,Flat / Apartment,2248,4,4,4,Regent's Park,London,NW1 4HP
2027,Alderbrook Road,1650000,House,2434,5,5,5,,London,SW12 8AF
2028,Ellington Street,1000000,Flat / Apartment,909,2,2,2,,London,N7 8PL
2029,Mayford Road,975000,Flat / Apartment,1281,2,2,2,,London,SW12 8RZ
2030,Palace Place,3495000,Flat / Apartment,2176,3,3,3,,London,SW1E 5BJ
2031,Heathview Court,350000,Flat / Apartment,507,1,1,1,70 Parkside,London,SW19 5NL
2032,Hills Lane,880000,House,1573,3,3,3,Northwood,Middlesex,HA6 2QL
2033,Leinster Square,1250000,Flat / Apartment,763,1,1,1,Bayswater,London,W2 4NQ
2034,Wallace Road,800000,Flat / Apartment,1022,2,2,2,Canonbury,London,N1 2PQ
2035,Malvern Road,735000,Flat / Apartment,747,2,2,2,Hackney,London,E8 3LJ
2036,Redfield Lane,1995000,New development,1495,4,4,4,,London,SW5 0RQ
2037,Emmanuel Road,1350000,House,2355,5,5,5,,London,SW12 0HR
2038,Rossiter Road,995000,House,1255,4,4,4,,London,SW12 9RY
2039,Streathbourne Road,2000000,House,2680,6,6,6,,London,SW17 8RA
2040,Rydal Road,750000,Flat / Apartment,1019,2,2,2,,London,SW16 1QF
2041,Ontario Tower,1450000,Flat / Apartment,1849,2,2,2,4 Fairmont Avenue,London,E14 9JD
2042,South Quay  Plaza,1300000,New development,1203,3,3,3,Canary Wharf,London,E14 9SH
2043,Hammersmith Grove,800000,Flat / Apartment,833,2,2,2,,London,W6 0NJ
2044,Rivermead,1100000,House,1822,4,4,4,East Molesey,Surrey,KT8 9AZ
2045,Cambridge Heath Road,360000,Flat / Apartment,411,1,1,1,Bethnal Green,London,E2 9RA
2046,Octavia House,950000,Flat / Apartment,970,2,2,2, Fulham,London,SW6 2FJ
2047,King Edward House,825000,Flat / Apartment,1819,3,3,3,King Edward Place,Bushey,WD23 2RG
2048,Grosvenor Square,2950000,Flat / Apartment,840,2,2,2,Mayfair,London,W1K 6LD
2049,Hosack Road,1200000,House,1572,3,3,3,,London,SW17 7QP
2050,Fulham Road,15000000,New development,6333,4,4,4,,London,SW10 9UZ
2051,Worple Road,950000,Penthouse,1255,2,2,2,,London,SW19 4BJ
2052,Hereford Road,1495000,Flat / Apartment,939,2,2,2,,London,W2 4TQ
2053,Cumberland Street,2750000,House,2738,5,5,5,,London,SW1V 4LZ
2054,Manfred Court,615000,Flat / Apartment,694,2,2,2,Manfred Road,London,SW15 2RT
2055,St. Ann's Crescent,580000,Flat / Apartment,817,2,2,2,Wandsworth,London,SW18 2LR
2056,Selhurst Close,475000,Flat / Apartment,695,2,2,2,,London,SW19 6AZ
2057,Tooting Bec Gardens,525000,Flat / Apartment,1152,3,3,3,,London,SW16 1RB
2058,Northways,995000,Flat / Apartment,1039,2,2,2,College Crescent,London,NW3 5DP
2059,Zulu Mews,995000,House,1275,2,2,2,Battersea,London,SW11 2BQ
2060,Pelham Road,1295000,House,1775,3,3,3,,London,SW19 1NP
2061,Barmouth Road,1150000,House,1758,4,4,4,Wandsworth,London,SW18 2DT
2062,Brocklebank Road,1100000,House,1432,4,4,4,Wandsworth,London,SW18 3AT
2063,Killarney Road,560000,Flat / Apartment,661,2,2,2,,London,SW18 2DU
2064,Townshend Court,475000,Flat / Apartment,471,1,1,1,Shannon Place,London,NW8 7DP
2065,Exchange Building,1100000,Penthouse,1052,2,2,2, Shoreditch,London,E1 6NQ
2066,Cadogan Square,7250000,Flat / Apartment,2258,3,3,3,,London,SW1X 0HU
2067,Kreisel Walk,1695000,House,1842,4,4,4,Richmond,Surrey,TW9 3AL
2068,Crogsland Road,499999,Flat / Apartment,464,1,1,1,Chalk Farm,London,NW1 8AY
2069,Thornhill Grove,2100000,House,1677,3,3,3,Islington,London,N1 1JG
2070,Ockendon Road,1395000,Flat / Apartment,1359,3,3,3,,London,N1 3NW
2071,Regis Place,900000,Flat / Apartment,1013,2,2,2,10 Llanvanor Road,London,NW2 2AP
2072,Dartmouth Park Road,1850000,House,1623,3,3,3,,London,NW5 1SU
2073,Arnison Road,1650000,House,2698,5,5,5,East Molesey,Surrey,KT8 9JF
2074,Manor Drive,925000,House,1483,4,4,4,Esher,Surrey,KT10 0AU
2075,Rosary Gardens,1495000,Flat / Apartment,868,2,2,2,,London,SW7 4NN
2076,Carlton Road,1245000,House,1489,4,4,4,,London,SW14 7RJ
2077,Bridewell Place,950000,Flat / Apartment,1087,3,3,3,,London,E1W 2PB
2078,Wexford Road,3300000,House,4415,6,6,6,,London,SW12 8NH
2079,Dance Square,800000,Flat / Apartment,814,2,2,2,Clerkenwell,London,EC1V 3AL
2080,Vitae,725000,Flat / Apartment,1023,2,2,2,,311 Goldhawk Road,W6 0SZ
2081,Brynmaer Road,2350000,House,2299,5,5,5,Battersea,London,SW11 4EN
2082,Kings Gate Walk,1860000,Flat / Apartment,1174,2,2,2,Victoria,London,SW1E 6AN
2083,Eccleston Square,850000,Flat / Apartment,601,2,2,2, Westminster,London,SW1V 1NS
2084,Horizon Building,650000,Flat / Apartment,929,2,2,2, Canary Wharf,London,E14 4AW
2085,Fulham Park Gardens,775000,Flat / Apartment,780,3,3,3,,London,SW6 4JZ
2086,Arnison Road,2575000,House,3785,5,5,5,East Molesey,Surrey,KT8 9JJ
2087,Oxberry Avenue,625000,Flat / Apartment,693,2,2,2,Fulham,London,SW6 5SP
2088,Sefton Street,595000,New development,647,2,2,2,Putney,London,SW15 1NA
2089,Sefton Street,595000,New development,657,2,2,2,Putney,London,SW15 1NA
2090,Sefton Street,539950,New development,592,2,2,2,Putney,London,SW15 1NA
2091,Thornton Place,750000,Flat / Apartment,1420,2,2,2,Clapham Common North Side,London,SW4 0AB
2092,Willow Bridge Road,1750000,Flat / Apartment,1203,3,3,3, Islington,London,N1 2LA
2093,Seacon Tower,575000,Flat / Apartment,701,2,2,2,5 Hutchings Street,London,E14 8JX
2094,Blandfield Road,1300000,House,1272,4,4,4,,London,SW12 8BG
2095,Aumbrey Apartments,650000,Flat / Apartment,864,3,3,3,Eastway,London,E9 5HE
2096,St Georges Terrace,2750000,Flat / Apartment,1471,3,3,3,Primrose Hill,London,NW1 8XH
2097,Gloucester Avenue,2275000,Flat / Apartment,1540,3,3,3,Primrose Hill,London,NW1 8JD
2098,Grosvenor Waterside,1295000,Flat / Apartment,887,2,2,2,9 Gatliff Road,London,SW1W 8DQ
2099,Church Road,675000,Flat / Apartment,863,2,2,2,Richmond,Surrey,TW10 6LW
2100,Woodwaye,1695000,House,5242,8,8,8,,Watford,WD19 4TS
2101,Beauchamp Road,760000,Flat / Apartment,764,2,2,2,,London,SW11 1PG
2102,Orlando Road,850000,Flat / Apartment,820,2,2,2,,London,SW4 0LF
2103,Wells Place,850000,House,1356,3,3,3,London,Wandsworth,SW18 3BF
2104,Pudding Lane,3750000,House,5272,5,5,5,Chigwell,Essex,IG7 6BY
2105,Station Way,285000,Flat / Apartment,693,2,2,2,Buckhurst Hill,Essex,IG9 6LN
2106,Graham Road,1575000,House,1799,4,4,4,Hackney,London,E8 1BZ
2107,Gaumont Place,625000,New development,667,2,2,2,,London,SW2 4GD
2108,Rusthall Avenue,1900000,House,2199,4,4,4,Chiswick,London,W4 1BS
2109,Cleveland Road,2895000,House,3334,6,6,6,Barnes,London,SW13 0AA
2110,Sinclair Road,725000,Flat / Apartment,748,2,2,2,,London,W14 0NJ
2111,Ransomes Dock,2350000,Flat / Apartment,2168,3,3,3, Battersea,London,SW11 4NP
2112,Romney House,2150000,Flat / Apartment,1959,3,3,3,47 Marsham Street,London,SW1P 3DR
2113,Worple Road,1300000,House,2346,5,5,5,Wimbledon,London,SW20 8RQ
2114,Steeple Court,795000,Flat / Apartment,1082,2,2,2, Wimbledon,London,SW19 7BP
2115,Cottenham Park Road,1350000,Flat / Apartment,1888,3,3,3,Wimbledon,London,SW20 0RZ
2116,Penshurst Road,510000,Flat / Apartment,721,2,2,2,,London,E9 7DT
2117,Landmark Court,550000,Flat / Apartment,469,2,2,2, Marylebone,London,NW1 6SL
2118,Eamont Court,635000,Flat / Apartment,619,2,2,2,Eamont Street,London,NW8 7DG
2119,Visage Apartments,670000,Flat / Apartment,669,1,1,1,Winchester Road,London,NW3 3NE
2120,Tannery House,675000,Flat / Apartment,774,1,1,1,,6 Deal Street,E1 5AG
2121,City Road,1000000,Flat / Apartment,1173,2,2,2,Shoreditch,London,EC1V 2NR
2122,First Street,3650000,House,1616,2,2,2,,London,SW3 2LD
2123,Grosvenor Road,2000000,House,1884,5,5,5,Richmond,Surrey,TW10 6PE
2124,Amerland Road,1075000,House,1255,3,3,3,Putney,London,SW18 1PZ
2125,Chelverton Road,799950,Flat / Apartment,905,2,2,2,Putney,London,SW15 1RN
2126,Carlton Drive,3695000,House,4661,6,6,6,Putney,London,SW15 2DH
2127,Copse Wood Way,1750000,House,3026,5,5,5,Northwood,Middlesex,HA6 2UB
2128,Sisters Avenue,500000,Flat / Apartment,524,2,2,2,,London,SW11 5SQ
2129,Ashness Road,855000,Flat / Apartment,926,2,2,2,,London,SW11 6RY
2130,Shamrock Street,675000,Flat / Apartment,693,2,2,2,,London,SW4 6HE
2131,Turner Place,1295000,House,1324,4,4,4,,London,SW11 1EB
2132,Broxash Road,1450000,House,1920,5,5,5,,London,SW11 6AB
2133,Lillieshall Road,1675000,House,1558,3,3,3,,London,SW4 0LP
2134,Old York Road,600000,Flat / Apartment,818,2,2,2,,London,SW18 1SS
2135,Old York Road,525000,Flat / Apartment,565,1,1,1,,London,SW18 1SS
2136,Westside Court,850000,Flat / Apartment,791,2,2,2,Elgin Avenue,London,W9 2NP
2137,Hallam Street,1095000,Flat / Apartment,663,2,2,2,Marylebone,London,W1W 6JN
2138,Wimpole Street,2575000,Flat / Apartment,1374,3,3,3,Marylebone,London,W1G 8AE
2139,Mount Street,1750000,Flat / Apartment,1089,2,2,2,Mayfair,London,W1K 2RP
2140,Princes Drive,5950000,New development,11610,6,6,6,Oxshott,Surrey,KT22 0UL
2141,Groom Place,1950000,House,1010,2,2,2,,London,SW1X 7BA
2142,Aubrey Road,3200000,House,2282,3,3,3,,London,W8 7JJ
2143,Campden Hill Gardens,775000,Flat / Apartment,476,1,1,1,,London,W8 7AX
2144,Callcott Street,2300000,House,1433,3,3,3,,London,W8 7SU
2145,St. Anns Gardens,1795000,House,1787,4,4,4,Kentish Town,London,NW5 4ER
2146,Creighton Avenue,1550000,House,1888,4,4,4,,London,N2 9BJ
2147,Roderick Road,875000,Flat / Apartment,985,2,2,2,,London,NW3 2NL
2148,Inglethorpe Street,2350000,House,2858,5,5,5, Fulham,London,SW6 6NX
2149,Rivermead Court,1950000,Flat / Apartment,1730,3,3,3,Ranelagh Gardens,London,SW6 3RT
2150,Pursers Cross Road,1400000,House,1102,3,3,3, Fulham,London,SW6 4QX
2151,Park View Road,2750000,House,3558,7,7,7,,London,W5 2JB
2152,Gunnersbury Avenue,500000,Flat / Apartment,770,2,2,2,Ealing,London,W5 3NJ
2153,Imber Park Road,900000,House,1606,4,4,4,Esher,Surrey,KT10 8JB
2154,Tolworth Road,500000,House,669,2,2,2,Surbiton,Surrey,KT6 7TA
2155,Queens Drive,1150000,House,1961,4,4,4,Surbiton,Surrey,KT5 8PP
2156,Bolton Gardens,1160000,Flat / Apartment,689,2,2,2,,London,SW5 0AQ
2157,Columbia Gardens,1350000,New development,1023,3,3,3,,London,SW6 1FU
2158,Wapping Lane,1075000,Flat / Apartment,1575,2,2,2,,London,E1W 2RR
2159,Clapham Common South Side,695000,Flat / Apartment,848,2,2,2,,London,SW4 9DX
2160,Holmside Road,1225000,House,1350,3,3,3,,London,SW12 8RJ
2161,Sarsfeld Road,2300000,House,2668,5,5,5,,London,SW12 8HL
2162,Broadway Lofts,550000,Flat / Apartment,848,2,2,2,10 Gatton Road,London,SW17 0EE
2163,City Tower,450000,Flat / Apartment,640,2,2,2, Canary Wharf,London,E14 9LU
2164,Hugero Point,399995,Flat / Apartment,569,1,1,1,2 Rennie Street,London,SE10 0GS
2165,Trinity Tower,650000,Flat / Apartment,1399,2,2,2, Canary Wharf;,London,E14 9JW
2166,Myddelton Square,950000,Flat / Apartment,963,2,2,2,Clerkenwell,London,EC1R 1YA
2167,Saffron Hill,885000,Flat / Apartment,747,2,2,2,Clerkenwell,London,EC1N 8QS
2168,St. Albans Avenue,1595000,House,1688,5,5,5,Chiswick,London,W4 5JR
2169,Eden Studios,675000,House,705,2,2,2,20-24 Beaumont Road,London,W4 5AP
2170,Mallord Street,11200000,House,4576,5,5,5,,London,SW3 6DU
2171,Television Centre,775000,New development,672,1,1,1,101 Wood Lane,London,W12 7FS
2172,Bentley House,995000,Flat / Apartment,1081,3,3,3,22 Bute Gardens,London,W6 7DR
2173,Drapers Court,570000,Flat / Apartment,640,1,1,1,59 Lurline Gardens,London,SW11 4DF
2174,Albany Mansions,950000,Flat / Apartment,935,2,2,2, Battersea,London,SW11 4PG
2175,Phillip House,550000,Flat / Apartment,569,2,2,2, Shoreditch,London,E1 5LW
2176,Thames Reach,1200000,Flat / Apartment,1101,2,2,2, Fulham,London,W6 9HS
2177,Hill Court,1900000,Flat / Apartment,1961,3,3,3, Wimbledon,London,SW19 7PD
2178,Trinity Road,600000,Flat / Apartment,721,2,2,2,Wandsworth,London,SW18 3SN
2179,Clifton Hill,5750000,House,3753,6,6,6,St John's Wood,London,NW8 0JT
2180,Julius Seal House,450000,Flat / Apartment,549,1,1,1,1A Belsham Street,London,E9 6FA
2181,Balcombe Street,2950000,House,2142,4,4,4,,London,NW1 6HE
2182,Hampstead Gate,1795000,House,2064,4,4,4,1A Frognal,London,NW3 6AL
2183,Hampton Court Road,2750000,House,5810,5,5,5,East Molesey,Surrey,KT8 9BW
2184,Outwood Lane,875000,House,1756,4,4,4,Chipstead,Surrey,CR5 3NB
2185,St. James's Drive,850000,Flat / Apartment,930,2,2,2,,London,SW17 7RR
2186,Ridgmount Gardens,2195000,Flat / Apartment,1384,4,4,4,,London,WC1E 7AR
2187,Adriatic Apartments,899995,Penthouse,1310,2,2,2,20 Western Gateway,London,E16 1BU
2188,Fulham Road,700000,Flat / Apartment,560,2,2,2,,London,SW10 9EW
2189,Byfeld Gardens,2125000,House,2128,4,4,4,Barnes,London,SW13 9HP
2190,Broomwood Road,975000,Flat / Apartment,1033,3,3,3,,London,SW11 6JT
2191,Guilford Street,2000000,Flat / Apartment,1467,3,3,3,Bloomsbury,London,WC1N 1DF
2192,Warehouse W,450000,Flat / Apartment,677,1,1,1,3 Western Gateway,London,E16 1BD
2193,Biggs Square,375000,Flat / Apartment,502,1,1,1,Felstead Street,London,E9 5DT
2194,The Nautilus Building,650000,Flat / Apartment,562,1,1,1,3 Myddelton Passage,London,EC1R 1XW
2195,Chiswick Mall,2200000,House,2177,4,4,4,,London,W4 2QH
2196,Grove Farm Park,1200000,House,2194,6,6,6,Northwood,Middlesex,HA6 2BQ
2197,Ringford Road,1395000,House,1835,4,4,4,Putney,London,SW18 1RS
2198,Capital East Apartments,375000,Flat / Apartment,590,1,1,1, Newham,London,E16 1AS
2199,Sutherland Avenue,1200000,Flat / Apartment,956,1,1,1,,London,W9 1ES
2200,Melrose Gardens,2495000,House,2580,5,5,5,,London,W6 7RN
2201,Kingsfield Road,950000,House,2194,4,4,4,,Watford,WD19 4TR
2202,Pissarro House,650000,Flat / Apartment,662,1,1,1,Augustas Lane,London,N1 1QT
2203,Carlyle Court,1250000,Flat / Apartment,1159,2,2,2,Chelsea Harbour,London,SW10 0UQ
2204,Tudor Road,775000,Flat / Apartment,847,2,2,2,South Hackney,London,E9 7SN
2205,Old York Road,695000,Flat / Apartment,774,3,3,3,,London,SW18 1TF
2206,Garratt Lane,375000,Flat / Apartment,526,1,1,1,,London,SW18 4SW
2207,Sinclair Road,830000,Flat / Apartment,930,2,2,2,,London,W14 0NP
2208,Pelhams Walk,2350000,New development,4777,5,5,5,Esher,Surrey,KT10 8QD
2209,Albany Court,635000,Flat / Apartment,526,1,1,1, St. James's Park,London,SW1H 0AA
2210,New Road,1575000,House,2369,4,4,4,Esher,Surrey,KT10 9NU
2211,Randolph Avenue,1275000,Flat / Apartment,976,3,3,3,,London,W9 1BG
2212,Discovery Dock Apartments East,699995,Flat / Apartment,919,2,2,2, Canary Wharf,London,E14 9RU
2213,Hampstead High Street,1100000,Flat / Apartment,1313,4,4,4,Hampstead,London,NW3 1QH
2214,Hyde Park Square,2750000,Flat / Apartment,1295,3,3,3,Connaught Village,London,W2 2JY
2215,Meath Street,950000,Flat / Apartment,947,3,3,3,,London,SW11 4JA
2216,Kilburn Park Road,715000,Flat / Apartment,789,2,2,2,Queen's Park,London,NW6 5LD
2217,Leinster Gardens,3100000,Flat / Apartment,2047,3,3,3,,London,W2 3AN
2218,Holbein Place,5450000,House,2842,3,3,3,,London,SW1W 8NP
2219,City Road,1977000,New development,1075,2,2,2,Shoreditch,London,EC1V 1AA
2220,City Road,2379000,New development,1372,3,3,3,Shoreditch,London,EC1V 1AA
2221,City Road,2899000,New development,1594,3,3,3,Shoreditch,London,EC1V 1AA
2222,Glenloch Road,4750000,House,3546,5,5,5,Belsize Park,London,NW3 4DJ
2223,James House,450000,Flat / Apartment,800,3,3,3,Solebay Street,London,E1 4PP
2224,Tonsley Road,1195000,House,1262,3,3,3,Wandsworth,London,SW18 1BG
2225,Walpole Mews,1325000,House,946,2,2,2,,London,NW8 6EZ
2226,Gainsborough Studios North,775000,Flat / Apartment,853,2,2,2,1 Poole Street,London,N1 5EB
2227,West Hill,465000,Flat / Apartment,667,1,1,1,Putney,London,SW18 1RB
2228,Brandreth Road,1495000,House,2535,5,5,5,,London,SW17 8ER
2229,Dance Square,650000,Flat / Apartment,495,1,1,1,,London,EC1V 3AN
2230,Upper Richmond Road West,775000,House,926,3,3,3,,London,SW14 8DS
2231,Pearson Square,2400000,Flat / Apartment,1053,2,2,2,Fitzrovia,London,W1T 3BH
2232,Ruvigny Gardens,1695000,House,1903,4,4,4,Putney,London,SW15 1JR
2233,Franciscan Road,1275000,House,1980,4,4,4,,London,SW17 8DJ
2234,North Grove,2500000,House,2475,4,4,4,Highgate,London,N6 4SH
2235,The Bowls,675000,Flat / Apartment,1533,3,3,3,Chigwell,Essex,IG7 6ND
2236,Rowan Lodge,2500000,Flat / Apartment,1184,3,3,3, Marloes Road,Kensington,W8 5UJ
2237,Riverlight Quay,850000,New development,819,2,2,2,Nine Elms,London,SW8 5BE
2238,Findon Road,1795000,House,2101,4,4,4,,London,W12 9PY
